Name: STRATO3, HW Version: 1.1, SW Version: 2.0, SN: 1001005000044
#;Up-Time;UTC;Date;RMC Valid;Sats in use;Latitude;Longitude;Speed over Ground [knots];Speed over Ground [km/h];Course over Ground;Altitude NN [m];Board: Temp [C];Extern: Temp [C];Extern: Hum [perc];Extern: Press [hPa];Batt Voltage [V];Logger Status
$;02:03:43;11:49:16;04.10.2022;Y;10;53 47.47646 N;010 41.67990 E;40.521;75.0;94.11;33065.4;-3.500;-34.500;0.100;7.179;8.4;66673
$;02:03:45;11:49:18;04.10.2022;Y;10;53 47.47073 N;010 41.70693 E;22.518;41.7;123.92;33072.4;-3.250;-34.375;0.100;7.39;8.4;66673
$;02:03:47;11:49:20;04.10.2022;Y;10;53 47.47022 N;010 41.72153 E;20.024;37.0;60.58;33088.8;-3.375;-34.375;0.100;7.39;8.4;66673
$;02:03:49;11:49:22;04.10.2022;Y;10;53 47.48052 N;010 41.74825 E;45.827;84.8;58.62;33100.5;-3.375;-34.375;0.100;7.90;8.4;66673
$;02:03:51;11:49:24;04.10.2022;Y;10;53 47.49160 N;010 41.79518 E;58.585;108.4;76.28;33109.5;-3.375;-34.375;0.100;6.989;8.4;66673
$;02:03:53;11:49:26;04.10.2022;Y;10;53 47.49327 N;010 41.84112 E;40.031;74.1;94.98;33123.4;-3.375;-34.375;0.100;6.989;8.4;66673
$;02:03:55;11:49:28;04.10.2022;Y;10;53 47.49114 N;010 41.86571 E;15.174;28.1;98.21;33130.8;-3.375;-34.375;0.100;6.940;8.4;66673
$;02:03:57;11:49:30;04.10.2022;Y;10;53 47.49506 N;010 41.87549 E;19.222;35.5;41.00;33142.8;-3.250;-34.375;0.100;6.989;8.4;66673
$;02:03:59;11:49:32;04.10.2022;Y;10;53 47.50379 N;010 41.90025 E;40.475;74.9;67.99;33160.1;-3.375;-34.375;0.100;6.849;8.4;66673
$;02:04:01;11:49:34;04.10.2022;Y;10;53 47.50849 N;010 41.94562 E;56.988;105.5;88.64;33167.2;-3.500;-34.375;0.100;6.989;8.4;66673
$;02:04:03;11:49:36;04.10.2022;Y;10;53 47.50566 N;010 41.99800 E;52.289;96.8;98.32;33178.2;-3.250;-34.250;0.100;6.989;8.3;66673
$;02:04:05;11:49:38;04.10.2022;Y;10;53 47.50480 N;010 42.03682 E;34.162;63.2;82.88;33192.2;-3.250;-34.250;0.100;6.989;8.4;66673
$;02:04:07;11:49:40;04.10.2022;Y;10;53 47.51247 N;010 42.06338 E;33.521;62.0;50.49;33199.5;-3.375;-34.250;0.100;6.989;8.4;66673
$;02:04:09;11:49:42;04.10.2022;Y;10;53 47.52434 N;010 42.09098 E;38.179;70.7;61.86;33211.6;-3.375;-34.125;0.100;6.889;8.4;66673
$;02:04:11;11:49:44;04.10.2022;Y;10;53 47.52880 N;010 42.12599 E;40.442;74.8;90.12;33221.9;-3.375;-34.250;0.100;6.940;8.4;66673
$;02:04:13;11:49:46;04.10.2022;Y;10;53 47.52446 N;010 42.16206 E;37.716;69.8;107.30;33232.1;-3.375;-34.125;0.100;6.940;8.4;66673
$;02:04:15;11:49:48;04.10.2022;Y;10;53 47.52167 N;010 42.19183 E;29.569;54.7;87.33;33247.3;-3.375;-34.125;0.100;6.940;8.4;66673
$;02:04:17;11:49:50;04.10.2022;Y;10;53 47.52771 N;010 42.22051 E;37.575;69.5;60.95;33257.2;-3.250;-34.125;0.100;6.940;8.4;66673
$;02:04:19;11:49:52;04.10.2022;Y;10;53 47.53874 N;010 42.25555 E;45.086;83.4;66.13;33268.5;-3.375;-34.125;0.100;6.889;8.4;66673
$;02:04:21;11:49:54;04.10.2022;Y;10;53 47.54393 N;010 42.29368 E;39.137;72.4;87.18;33281.2;-3.250;-34.125;0.100;6.940;8.4;66673
$;02:04:23;11:49:56;04.10.2022;Y;10;53 47.54135 N;010 42.32302 E;25.949;48.0;107.59;33290.1;-3.250;-34.0;0.100;6.940;8.4;66673
$;02:04:25;11:49:58;04.10.2022;Y;10;53 47.54017 N;010 42.34217 E;20.165;37.3;76.83;33304.1;-3.375;-34.125;0.100;6.940;8.4;66673
$;02:04:27;11:50:00;04.10.2022;Y;10;53 47.54700 N;010 42.36651 E;36.870;68.2;62.23;33317.0;-3.375;-34.125;0.100;6.699;8.4;66673
$;02:04:29;11:50:02;04.10.2022;Y;10;53 47.55694 N;010 42.40606 E;52.273;96.8;72.32;33326.0;-3.250;-33.875;0.100;6.789;8.4;66673
$;02:04:31;11:50:04;04.10.2022;Y;10;53 47.56142 N;010 42.45224 E;45.998;85.1;86.81;33339.8;-3.500;-34.0;0.100;6.940;8.4;66673
$;02:04:33;11:50:06;04.10.2022;Y;10;53 47.56246 N;010 42.48564 E;27.969;51.7;83.36;33353.3;-3.375;-33.875;0.100;6.889;8.4;66673
$;02:04:35;11:50:08;04.10.2022;Y;10;53 47.56829 N;010 42.50508 E;24.886;46.0;45.50;33361.6;-3.375;-33.875;0.100;6.789;8.4;66673
$;02:04:37;11:50:10;04.10.2022;Y;10;53 47.58101 N;010 42.52755 E;39.867;73.8;51.88;33374.8;-3.375;-33.750;0.100;6.789;8.4;66673
$;02:04:39;11:50:12;04.10.2022;Y;10;53 47.59057 N;010 42.56496 E;46.812;86.6;77.85;33388.4;-3.500;-33.875;0.100;6.789;8.4;66673
$;02:04:41;11:50:14;04.10.2022;Y;10;53 47.58987 N;010 42.60504 E;38.462;71.2;102.64;33399.2;-3.375;-33.750;0.100;6.840;8.4;66673
$;02:04:43;11:50:16;04.10.2022;Y;09;53 47.58491 N;010 42.63305 E;29.535;54.6;107.82;33410.9;-3.375;-33.750;0.100;6.650;8.4;66673
$;02:04:45;11:50:18;04.10.2022;Y;10;53 47.59026 N;010 42.64935 E;26.065;48.2;39.75;33424.3;-3.375;-33.750;0.100;6.739;8.4;66673
$;02:04:47;11:50:20;04.10.2022;Y;10;53 47.60418 N;010 42.67374 E;44.519;82.4;56.44;33438.3;-3.250;-33.750;0.100;6.650;8.4;66673
$;02:04:49;11:50:22;04.10.2022;Y;08;53 47.61277 N;010 42.71411 E;46.929;86.9;77.60;33451.2;-3.375;-33.750;0.100;6.889;8.4;66673
$;02:04:51;11:50:24;04.10.2022;Y;10;53 47.61105 N;010 42.75653 E;41.886;77.5;102.41;33463.7;-3.500;-33.625;0.100;6.650;8.4;66673
$;02:04:53;11:50:26;04.10.2022;Y;10;53 47.60982 N;010 42.78504 E;24.261;44.9;80.14;33478.7;-3.250;-33.625;0.100;6.650;8.4;66673
$;02:04:55;11:50:28;04.10.2022;Y;10;53 47.61829 N;010 42.80452 E;32.195;59.6;39.33;33486.2;-3.250;-33.500;0.100;6.690;8.4;66673
$;02:04:57;11:50:30;04.10.2022;Y;10;53 47.63387 N;010 42.82839 E;40.460;74.9;49.89;33499.6;-3.375;-33.625;0.100;6.690;8.4;66673
$;02:04:59;11:50:32;04.10.2022;Y;10;53 47.64148 N;010 42.86116 E;37.588;69.6;84.42;33517.4;-3.375;-33.500;0.100;6.650;8.4;66673
$;02:05:01;11:50:34;04.10.2022;Y;10;53 47.63682 N;010 42.89551 E;40.311;74.6;117.63;33524.1;-3.250;-33.625;0.100;6.650;8.4;66673
$;02:05:03;11:50:36;04.10.2022;Y;10;53 47.62640 N;010 42.92505 E;32.199;59.6;115.92;33539.7;-3.375;-33.500;0.100;6.550;8.4;66673
$;02:05:05;11:50:38;04.10.2022;Y;10;53 47.62587 N;010 42.95211 E;31.074;57.5;72.64;33556.5;-3.375;-33.625;0.100;6.650;8.4;66673
$;02:05:07;11:50:40;04.10.2022;Y;10;53 47.63684 N;010 42.98109 E;42.407;78.5;50.35;33564.1;-3.250;-33.500;0.100;6.599;8.4;66673
$;02:05:09;11:50:42;04.10.2022;Y;10;53 47.64964 N;010 43.01138 E;35.757;66.2;63.05;33578.1;-3.375;-33.500;0.100;6.650;8.4;66673
$;02:05:11;11:50:44;04.10.2022;Y;10;53 47.65273 N;010 43.03958 E;29.232;54.1;96.35;33587.0;-3.250;-33.500;0.100;6.550;8.4;66673
$;02:05:13;11:50:46;04.10.2022;Y;10;53 47.64722 N;010 43.06559 E;29.897;55.3;114.58;33595.4;-3.250;-33.500;0.100;6.639;8.4;66673
$;02:05:15;11:50:48;04.10.2022;Y;10;53 47.64483 N;010 43.09232 E;30.734;56.9;85.22;33611.6;-3.375;-33.500;0.100;6.500;8.4;66673
$;02:05:17;11:50:50;04.10.2022;Y;10;53 47.65075 N;010 43.12483 E;42.455;78.6;67.22;33621.6;-3.250;-33.500;0.100;6.639;8.4;66673
$;02:05:19;11:50:52;04.10.2022;Y;10;53 47.65867 N;010 43.16533 E;46.415;85.9;77.80;33635.3;-3.375;-33.375;0.100;6.500;8.4;66673
$;02:05:21;11:50:54;04.10.2022;Y;10;53 47.65966 N;010 43.20541 E;40.180;74.4;96.15;33649.1;-3.375;-33.375;0.100;6.599;8.4;66673
$;02:05:23;11:50:56;04.10.2022;Y;10;53 47.65634 N;010 43.23665 E;29.322;54.3;99.41;33660.1;-3.375;-33.375;0.100;6.599;8.4;66673
$;02:05:25;11:50:58;04.10.2022;Y;10;53 47.65797 N;010 43.26394 E;33.103;61.3;72.84;33673.1;-3.375;-33.375;0.100;6.500;8.4;66673
$;02:05:27;11:51:00;04.10.2022;Y;10;53 47.66616 N;010 43.30149 E;50.729;93.9;70.80;33685.0;-3.250;-33.375;0.100;6.550;8.4;66673
$;02:05:29;11:51:02;04.10.2022;Y;10;53 47.67225 N;010 43.35145 E;56.224;104.1;85.43;33698.5;-3.375;-33.375;0.100;6.449;8.4;66673
$;02:05:31;11:51:04;04.10.2022;Y;10;53 47.67006 N;010 43.39813 E;44.214;81.8;102.30;33711.9;-3.375;-33.250;0.100;6.449;8.4;66673
$;02:05:33;11:51:06;04.10.2022;Y;10;53 47.66523 N;010 43.42880 E;26.239;48.5;103.38;33723.7;-3.375;-33.250;0.100;6.449;8.4;66673
$;02:05:35;11:51:08;04.10.2022;Y;10;53 47.66692 N;010 43.45283 E;31.608;58.5;70.51;33739.4;-3.375;-33.250;0.100;6.449;8.4;66673
$;02:05:37;11:51:10;04.10.2022;Y;10;53 47.67468 N;010 43.49113 E;52.834;97.8;73.55;33752.4;-3.250;-33.250;0.100;6.309;8.4;66673
$;02:05:39;11:51:12;04.10.2022;Y;10;53 47.68013 N;010 43.54663 E;64.506;119.4;85.87;33763.3;-3.250;-33.250;0.100;6.360;8.4;66673
$;02:05:41;11:51:14;04.10.2022;Y;10;53 47.68035 N;010 43.59974 E;48.781;90.3;91.24;33780.2;-3.250;-33.125;0.100;6.449;8.4;66673
$;02:05:43;11:51:16;04.10.2022;Y;10;53 47.68157 N;010 43.63512 E;30.256;56.0;77.81;33790.9;-3.125;-33.250;0.100;6.400;8.4;66673
$;02:05:45;11:51:18;04.10.2022;Y;10;53 47.68944 N;010 43.65937 E;33.349;61.7;53.85;33802.4;-3.250;-33.125;0.100;6.349;8.4;66673
$;02:05:47;11:51:20;04.10.2022;Y;10;53 47.69921 N;010 43.69394 E;47.670;88.2;73.04;33819.8;-3.375;-33.250;0.100;6.400;8.4;66673
$;02:05:49;11:51:22;04.10.2022;Y;10;53 47.70191 N;010 43.74331 E;57.654;106.7;93.35;33830.2;-3.250;-33.125;0.100;6.349;8.4;66673
$;02:05:51;11:51:24;04.10.2022;Y;10;53 47.69590 N;010 43.79432 E;52.054;96.4;105.99;33841.4;-3.375;-33.125;0.100;6.400;8.4;66673
$;02:05:53;11:51:26;04.10.2022;Y;10;53 47.69151 N;010 43.83536 E;40.525;75.0;91.52;33856.3;-3.250;-33.125;0.100;6.400;8.4;66673
$;02:05:55;11:51:28;04.10.2022;Y;10;53 47.69645 N;010 43.87483 E;48.736;90.2;70.22;33865.9;-3.375;-33.0;0.100;6.400;8.4;66673
$;02:05:57;11:51:30;04.10.2022;Y;10;53 47.70599 N;010 43.92518 E;61.921;114.6;76.33;33877.4;-3.250;-33.0;0.100;6.300;8.4;66673
$;02:05:59;11:51:32;04.10.2022;Y;10;53 47.70829 N;010 43.98128 E;58.044;107.4;94.20;33891.4;-3.375;-32.875;0.100;6.349;8.4;66673
$;02:06:01;11:51:34;04.10.2022;Y;10;53 47.70305 N;010 44.02727 E;43.211;80.0;104.92;33903.2;-3.250;-32.750;0.100;6.400;8.4;66673
$;02:06:03;11:51:36;04.10.2022;Y;10;53 47.70114 N;010 44.06224 E;37.049;68.6;82.39;33917.1;-3.250;-32.750;0.100;6.400;8.4;66673
$;02:06:05;11:51:38;04.10.2022;Y;10;53 47.70900 N;010 44.10336 E;55.546;102.8;69.00;33928.8;-3.250;-32.750;0.100;6.389;8.4;66673
$;02:06:07;11:51:40;04.10.2022;Y;10;53 47.71880 N;010 44.16093 E;69.379;128.4;79.05;33941.4;-3.125;-32.750;0.100;6.300;8.4;66673
$;02:06:09;11:51:42;04.10.2022;Y;10;53 47.72084 N;010 44.22141 E;59.408;110.0;93.12;33957.6;-3.375;-32.625;0.100;6.250;8.4;66673
$;02:06:11;11:51:44;04.10.2022;Y;10;53 47.71798 N;010 44.26608 E;38.873;71.9;96.95;33968.9;-3.250;-32.500;0.100;6.340;8.4;66673
$;02:06:13;11:51:46;04.10.2022;Y;10;53 47.71979 N;010 44.29584 E;32.070;59.3;69.56;33979.7;-3.375;-32.625;0.100;6.300;8.4;66673
$;02:06:15;11:51:48;04.10.2022;Y;10;53 47.72855 N;010 44.33294 E;51.994;96.2;70.73;33996.6;-3.250;-32.250;0.100;6.150;8.4;66673
$;02:06:17;11:51:50;04.10.2022;Y;10;53 47.73464 N;010 44.38843 E;66.632;123.4;86.48;34010.4;-3.250;-32.375;0.100;6.199;8.4;66673
$;02:06:19;11:51:52;04.10.2022;Y;10;53 47.73123 N;010 44.44988 E;64.199;118.8;102.22;34021.5;-3.375;-32.250;0.100;6.289;8.4;66673
$;02:06:21;11:51:54;04.10.2022;Y;10;53 47.72366 N;010 44.50063 E;49.821;92.2;102.46;34035.1;-3.250;-32.250;0.100;6.289;8.4;66673
$;02:06:23;11:51:56;04.10.2022;Y;10;53 47.72265 N;010 44.54486 E;48.957;90.6;83.49;34047.6;-3.250;-32.250;0.100;6.239;8.4;66673
$;02:06:25;11:51:58;04.10.2022;Y;10;53 47.72840 N;010 44.59611 E;62.077;114.9;78.93;34057.2;-3.250;-32.125;0.100;6.199;8.4;66673
$;02:06:27;11:52:00;04.10.2022;Y;10;53 47.73111 N;010 44.65648 E;65.554;121.4;91.81;34069.7;-3.125;-32.0;0.100;6.239;8.4;66673
$;02:06:29;11:52:02;04.10.2022;Y;10;53 47.72603 N;010 44.71149 E;53.936;99.8;104.26;34082.2;-3.250;-31.750;0.100;6.340;8.4;66673
$;02:06:31;11:52:04;04.10.2022;Y;10;53 47.72047 N;010 44.75309 E;40.557;75.1;97.07;34095.7;-3.375;-31.875;0.100;6.289;8.4;66673
$;02:06:33;11:52:06;04.10.2022;Y;10;53 47.72278 N;010 44.79402 E;50.375;93.2;77.79;34108.9;-3.250;-31.750;0.100;6.289;8.4;66673
$;02:06:35;11:52:08;04.10.2022;Y;10;53 47.72893 N;010 44.84975 E;68.852;127.5;82.78;34120.2;-3.125;-31.875;0.100;6.190;8.4;66673
$;02:06:37;11:52:10;04.10.2022;Y;10;53 47.72786 N;010 44.91530 E;69.187;128.1;98.85;34133.9;-3.250;-31.625;0.100;6.190;8.4;66673
$;02:06:39;11:52:12;04.10.2022;Y;10;53 47.71936 N;010 44.96813 E;49.165;91.0;109.41;34147.1;-3.250;-31.625;0.100;6.289;8.4;66673
$;02:06:41;11:52:14;04.10.2022;Y;10;53 47.71457 N;010 45.00253 E;31.901;59.0;90.89;34158.4;-3.250;-31.750;0.100;6.190;8.4;66673
$;02:06:43;11:52:16;04.10.2022;Y;10;53 47.71891 N;010 45.03800 E;47.484;87.9;75.72;34173.1;-3.250;-31.500;0.100;6.190;8.4;66673
$;02:06:45;11:52:18;04.10.2022;Y;10;53 47.72228 N;010 45.09119 E;64.960;120.3;90.32;34185.9;-3.375;-31.625;0.100;6.190;8.4;66673
$;02:06:47;11:52:20;04.10.2022;Y;10;53 47.71545 N;010 45.15384 E;69.036;127.8;108.16;34195.1;-3.375;-31.250;0.100;6.90;8.4;66673
$;02:06:49;11:52:22;04.10.2022;Y;10;53 47.70339 N;010 45.20565 E;50.868;94.2;111.23;34210.6;-3.250;-31.500;0.100;6.190;8.4;66673
$;02:06:51;11:52:24;04.10.2022;Y;10;53 47.69890 N;010 45.24544 E;40.849;75.6;88.94;34223.6;-3.250;-31.125;0.100;6.329;8.4;66673
$;02:06:53;11:52:26;04.10.2022;Y;10;53 47.70296 N;010 45.28778 E;51.325;95.0;79.16;34233.7;-3.375;-31.375;0.100;6.230;8.4;66673
$;02:06:55;11:52:28;04.10.2022;Y;10;53 47.70432 N;010 45.33863 E;56.750;105.1;95.01;34244.5;-3.125;-31.375;0.100;6.179;8.4;66673
$;02:06:57;11:52:30;04.10.2022;Y;10;53 47.69658 N;010 45.38812 E;52.550;97.3;112.44;34253.9;-3.250;-31.125;0.100;6.230;8.4;66673
$;02:06:59;11:52:32;04.10.2022;Y;10;53 47.68643 N;010 45.42784 E;41.817;77.4;110.51;34268.5;-3.250;-31.0;0.100;6.179;8.4;66673
$;02:07:01;11:52:34;04.10.2022;Y;10;53 47.68288 N;010 45.46633 E;44.638;82.6;90.01;34281.9;-3.250;-30.875;0.100;6.280;8.4;66673
$;02:07:03;11:52:36;04.10.2022;Y;10;53 47.68453 N;010 45.51445 E;57.143;105.8;86.64;34293.0;-3.250;-30.875;0.100;6.230;8.4;66673
$;02:07:05;11:52:38;04.10.2022;Y;10;53 47.68275 N;010 45.56910 E;58.557;108.4;99.12;34306.2;-3.250;-30.750;0.100;6.79;8.4;66673
$;02:07:07;11:52:40;04.10.2022;Y;10;53 47.67499 N;010 45.61591 E;46.265;85.6;110.70;34317.9;-3.375;-30.875;0.100;6.79;8.4;66673
$;02:07:09;11:52:42;04.10.2022;Y;10;53 47.66786 N;010 45.65010 E;34.520;63.9;104.10;34330.6;-3.125;-30.875;0.100;6.79;8.4;66673
$;02:07:11;11:52:44;04.10.2022;Y;10;53 47.66674 N;010 45.68525 E;42.843;79.3;87.41;34344.5;-3.375;-30.625;0.100;6.30;8.4;66673
$;02:07:13;11:52:46;04.10.2022;Y;10;53 47.66666 N;010 45.73281 E;57.494;106.4;93.70;34355.6;-3.250;-30.750;0.100;6.79;8.4;66673
$;02:07:15;11:52:48;04.10.2022;Y;10;53 47.66004 N;010 45.78854 E;62.229;115.2;107.55;34366.5;-3.250;-30.625;0.100;6.79;8.4;66673
$;02:07:17;11:52:50;04.10.2022;Y;10;53 47.64859 N;010 45.83683 E;49.426;91.5;113.83;34381.2;-3.250;-30.625;0.100;6.79;8.4;66673
$;02:07:19;11:52:52;04.10.2022;Y;10;53 47.64220 N;010 45.87450 E;38.495;71.2;96.11;34395.4;-3.250;-30.500;0.100;5.980;8.4;66673
$;02:07:21;11:52:54;04.10.2022;Y;10;53 47.64498 N;010 45.91362 E;47.934;88.7;76.66;34405.5;-3.250;-30.625;0.100;5.929;8.4;66673
$;02:07:23;11:52:56;04.10.2022;Y;10;53 47.65014 N;010 45.96341 E;57.525;106.5;84.79;34418.8;-3.250;-30.625;0.100;6.79;8.4;66673
$;02:07:25;11:52:58;04.10.2022;Y;10;53 47.64799 N;010 46.01412 E;51.343;95.0;102.37;34433.6;-3.125;-30.625;0.100;6.79;8.4;66673
$;02:07:27;11:53:00;04.10.2022;Y;10;53 47.64038 N;010 46.05156 E;34.798;64.4;113.43;34444.9;-3.0;-30.500;0.100;6.79;8.4;66673
$;02:07:29;11:53:02;04.10.2022;Y;10;53 47.63781 N;010 46.07760 E;28.325;52.4;82.31;34459.0;-3.250;-30.500;0.100;6.79;8.4;66673
$;02:07:31;11:53:04;04.10.2022;Y;10;53 47.64396 N;010 46.11254 E;48.984;90.7;72.19;34472.8;-3.250;-30.375;0.100;5.980;8.4;66673
$;02:07:33;11:53:06;04.10.2022;Y;10;53 47.65038 N;010 46.16553 E;63.822;118.1;83.84;34483.7;-3.125;-30.375;0.100;6.70;8.4;66673
$;02:07:35;11:53:08;04.10.2022;Y;10;53 47.64994 N;010 46.22205 E;55.602;102.9;95.67;34497.6;-3.375;-30.375;0.100;6.70;8.4;66673
$;02:07:37;11:53:10;04.10.2022;Y;10;53 47.64795 N;010 46.26407 E;37.269;69.0;90.62;34509.6;-3.250;-30.375;0.100;6.70;8.4;66673
$;02:07:39;11:53:12;04.10.2022;Y;10;53 47.65271 N;010 46.29374 E;34.097;63.1;61.44;34517.8;-3.250;-30.125;0.100;6.19;8.4;66673
$;02:07:41;11:53:14;04.10.2022;Y;10;53 47.66249 N;010 46.32946 E;48.928;90.6;71.61;34532.0;-3.250;-30.125;0.100;6.19;8.4;66673
$;02:07:43;11:53:16;04.10.2022;Y;10;53 47.66550 N;010 46.37871 E;56.474;104.5;93.85;34544.9;-3.125;-30.125;0.100;6.119;8.4;66673
$;02:07:45;11:53:18;04.10.2022;Y;10;53 47.65815 N;010 46.42745 E;50.337;93.2;111.77;34556.0;-3.125;-30.125;0.100;5.969;8.4;66673
$;02:07:47;11:53:20;04.10.2022;Y;10;53 47.65017 N;010 46.46355 E;34.674;64.2;104.78;34569.7;-3.250;-30.125;0.100;5.929;8.4;66673
$;02:07:49;11:53:22;04.10.2022;Y;10;53 47.65019 N;010 46.49546 E;37.644;69.7;80.17;34580.2;-3.125;-30.0;0.100;6.19;8.4;66673
$;02:07:51;11:53:24;04.10.2022;Y;10;53 47.65368 N;010 46.53797 E;52.480;97.1;86.14;34591.4;-3.125;-30.0;0.100;5.920;8.4;66673
$;02:07:53;11:53:26;04.10.2022;Y;10;53 47.65077 N;010 46.58918 E;56.089;103.8;103.18;34601.7;-3.250;-29.875;0.100;6.19;8.4;66673
$;02:07:55;11:53:28;04.10.2022;Y;10;53 47.64194 N;010 46.63235 E;41.574;76.9;112.08;34614.0;-3.0;-29.875;0.100;5.920;8.4;66673
$;02:07:57;11:53:30;04.10.2022;Y;10;53 47.63834 N;010 46.66247 E;29.488;54.6;85.63;34626.6;-3.125;-29.875;0.100;6.19;8.4;66673
$;02:07:59;11:53:32;04.10.2022;Y;10;53 47.64446 N;010 46.69539 E;45.156;83.6;69.47;34638.6;-3.125;-29.625;0.100;5.869;8.4;66673
$;02:08:01;11:53:34;04.10.2022;Y;10;53 47.65085 N;010 46.74355 E;58.212;107.8;84.48;34651.4;-3.125;-29.625;0.100;5.920;8.4;66673
$;02:08:03;11:53:36;04.10.2022;Y;10;53 47.64775 N;010 46.79630 E;54.385;100.7;104.83;34662.9;-3.375;-29.500;0.100;5.920;8.4;66673
$;02:08:05;11:53:38;04.10.2022;Y;10;53 47.63946 N;010 46.83482 E;34.389;63.6;110.93;34676.5;-3.250;-29.500;0.100;5.820;8.4;66673
$;02:08:07;11:53:40;04.10.2022;Y;10;53 47.63965 N;010 46.86043 E;28.765;53.2;67.14;34690.2;-3.250;-29.375;0.100;6.10;8.4;66673
$;02:08:09;11:53:42;04.10.2022;Y;10;53 47.65140 N;010 46.89261 E;50.231;93.0;57.80;34700.4;-3.250;-29.500;0.100;5.869;8.4;66673
$;02:08:11;11:53:44;04.10.2022;Y;10;53 47.66342 N;010 46.93944 E;56.139;103.9;74.77;34713.9;-3.0;-29.500;0.100;5.820;8.4;66673
$;02:08:13;11:53:46;04.10.2022;Y;10;53 47.66584 N;010 46.98572 E;44.397;82.2;94.01;34724.9;-3.125;-29.250;0.100;5.869;8.4;66673
$;02:08:15;11:53:48;04.10.2022;Y;10;53 47.66244 N;010 47.01757 E;26.796;49.6;103.11;34732.3;-3.125;-29.375;0.100;5.869;8.4;66673
$;02:08:17;11:53:50;04.10.2022;Y;10;53 47.66455 N;010 47.04166 E;31.592;58.5;67.47;34747.5;-3.250;-29.250;0.100;5.869;8.4;66673
$;02:08:19;11:53:52;04.10.2022;Y;10;53 47.67418 N;010 47.07867 E;52.910;97.9;67.82;34760.5;-3.125;-29.125;0.100;5.820;8.4;66673
$;02:08:21;11:53:54;04.10.2022;Y;10;53 47.68240 N;010 47.13193 E;61.766;114.3;81.79;34770.9;-3.125;-29.125;0.100;5.869;8.4;66673
$;02:08:23;11:53:56;04.10.2022;Y;10;53 47.68269 N;010 47.18251 E;46.512;86.1;95.44;34784.7;-3.125;-29.125;0.100;5.860;8.4;66673
$;02:08:25;11:53:58;04.10.2022;Y;10;53 47.68132 N;010 47.21456 E;25.182;46.6;86.43;34796.2;-3.125;-29.125;0.100;5.860;8.4;66673
$;02:08:27;11:54:00;04.10.2022;Y;10;53 47.68802 N;010 47.23667 E;33.595;62.2;52.44;34810.0;-3.250;-29.125;0.100;5.860;8.4;66673
$;02:08:29;11:54:02;04.10.2022;Y;10;53 47.70088 N;010 47.27272 E;53.985;99.9;65.24;34824.6;-3.0;-29.0;0.100;5.770;8.4;66673
$;02:08:31;11:54:04;04.10.2022;Y;10;53 47.70846 N;010 47.32631 E;62.169;115.1;85.80;34835.1;-3.125;-29.0;0.100;5.719;8.4;66673
$;02:08:33;11:54:06;04.10.2022;Y;10;53 47.70566 N;010 47.37790 E;48.457;89.7;102.22;34848.3;-3.250;-28.875;0.100;5.860;8.4;66673
$;02:08:35;11:54:08;04.10.2022;Y;10;53 47.70298 N;010 47.41170 E;28.867;53.4;86.28;34863.1;-3.250;-28.875;0.100;5.809;8.4;66673
$;02:08:37;11:54:10;04.10.2022;Y;10;53 47.71006 N;010 47.43877 E;38.559;71.4;56.62;34876.1;-3.0;-28.750;0.100;5.719;8.4;66673
$;02:08:39;11:54:12;04.10.2022;Y;10;53 47.72235 N;010 47.47809 E;54.269;100.5;68.58;34888.6;-3.0;-28.750;0.100;5.809;8.4;66673
$;02:08:41;11:54:14;04.10.2022;Y;10;53 47.72720 N;010 47.52860 E;54.780;101.4;90.95;34898.9;-3.0;-28.750;0.100;5.809;8.4;66673
$;02:08:43;11:54:16;04.10.2022;Y;10;53 47.72273 N;010 47.57149 E;38.820;71.8;105.89;34910.1;-3.125;-28.625;0.100;5.760;8.4;66673
$;02:08:45;11:54:18;04.10.2022;Y;10;53 47.72201 N;010 47.59965 E;28.468;52.7;73.46;34924.7;-3.125;-28.750;0.100;5.760;8.4;66673
$;02:08:47;11:54:20;04.10.2022;Y;10;53 47.73230 N;010 47.63118 E;48.494;89.8;58.45;34936.6;-3.125;-28.625;0.100;5.809;8.4;66673
$;02:08:49;11:54:22;04.10.2022;Y;10;53 47.74458 N;010 47.67995 E;61.906;114.6;74.48;34947.8;-3.125;-28.625;0.100;5.710;8.4;66673
$;02:08:51;11:54:24;04.10.2022;Y;10;53 47.74697 N;010 47.73318 E;52.027;96.3;95.35;34959.9;-3.125;-28.625;0.100;5.760;8.4;66673
$;02:08:53;11:54:26;04.10.2022;Y;10;53 47.74267 N;010 47.76958 E;29.288;54.2;103.22;34970.7;-3.125;-28.625;0.100;5.809;8.4;66673
$;02:08:55;11:54:28;04.10.2022;Y;10;53 47.74521 N;010 47.79270 E;29.879;55.3;60.59;34985.6;-3.0;-28.625;0.100;5.760;8.4;66673
$;02:08:57;11:54:30;04.10.2022;Y;10;53 47.75700 N;010 47.82795 E;54.195;100.3;63.37;34998.7;-3.125;-28.500;0.100;5.659;8.4;66673
$;02:08:59;11:54:32;04.10.2022;Y;10;53 47.76647 N;010 47.88362 E;66.746;123.6;82.78;35009.3;-3.0;-28.500;0.100;5.710;8.4;66673
$;02:09:01;11:54:34;04.10.2022;Y;10;53 47.76535 N;010 47.93806 E;49.586;91.8;98.99;35024.5;-3.0;-28.500;0.100;5.710;8.4;66673
