Temperatur; Luftfeuchtigkeit; Luftdruck; TVOC; CO2; UV
8.28; 44; 77292; 78; 913; 0

8.24; 41; 77082; 57; 778; 0

8.37; 38; 76901; 41; 675; 0

9.16; 33; 76679; 33; 620; 0

8.73; 32; 76463; 37; 649; 0

9.04; 32; 76237; 35; 631; 0

8.82; 29; 76013; 10; 466; 0

8.83; 25; 75811; 0; 400; 0

8.27; 25; 75596; 26; 577; 0

7.44; 27; 75430; 34; 627; 0

6.91; 31; 75252; 55; 765; 0

6.49; 32; 75077; 54; 757; 0

6.02; 33; 74884; 47; 714; 0

5.62; 35; 74701; 60; 795; 0

5.29; 35; 74518; 52; 746; 0

5.31; 35; 74326; 55; 765; 0

6.04; 33; 74131; 37; 649; 4

5.67; 31; 73947; 34; 627; 0

5.68; 30; 73766; 26; 577; 0

6.31; 29; 73602; 33; 618; 0

6.43; 28; 73411; 31; 605; 0

5.78; 29; 73204; 36; 641; 0

5.33; 32; 72987; 56; 774; 0

5.12; 33; 72800; 65; 830; 0

5.66; 33; 72615; 58; 783; 0

6.76; 32; 72412; 60; 795; 0

7.13; 31; 72252; 65; 830; 0

7.44; 30; 72087; 65; 830; 0

7.93; 29; 71927; 66; 838; 0

7.89; 29; 71765; 65; 830; 0

8.21; 26; 71584; 31; 605; 0

8.61; 24; 71408; 24; 561; 0

9.18; 21; 71262; 0; 400; 0

8.77; 18; 71050; 0; 400; 0

7.97; 18; 70856; 14; 498; 0

7.64; 20; 70691; 74; 891; 0

8.20; 28; 70499; 241; 1594; 0

7.56; 34; 70316; 275; 1632; 0

6.99; 36; 70159; 241; 1594; 0

6.61; 38; 69969; 236; 1590; 0

6.30; 35; 69780; 174; 1503; 0

6.86; 32; 69561; 142; 1334; 0

6.43; 25; 69358; 37; 649; 0

6.55; 24; 69199; 71; 870; 0

7.26; 25; 69035; 102; 1074; 0

8.13; 25; 68865; 114; 1153; 0

8.85; 24; 68707; 112; 1140; 0

9.40; 23; 68404; 117; 1171; 0

9.87; 22; 68378; 106; 1099; 0

10.26; 22; 68213; 108; 1113; 0

